Batteri,36 90 /st ,VARTA 1P • 4P,,"Schampo, balsam","49,95/st","AUSSIE, 200-300ml",,,,,
Plastfolie,19 90 /st ,TOPPITS 50M,,Rengöringsspray,"21,95/st","SÅKLART, 500-750ml",,,,,
Diskduk,2 FÖR 35 00 ,WETTEX 4P,,Färsk fylld pasta,"37,95/st","RANA, 250g",,,,,
,,,,Fryst vegetariskt,"29,95/st","QUORN, 300-312g",,,,,
,,,,Frysta pajer,"26,95/st","GARANT, 220g",,,,,
,,,,Svensk pumpa,"25,00/kg",ca: 2.8kg,,,,,
,,,,Svenska röda äpplen,"25,00/st",1kg,,,,,
,,,,Gurka,"10,00/st",280g,,,,,
,,,,Rödbetor,"5,00/kg",ca: 150g,,,,,
,,,,Fairtradebananer,"25,00/kg",ca: 1kg,,,,,
,,,,Elegansnejlikor,"59,95/st",,,,,,
,,,,Superrosor,"79,95/st",,,,,,
,,,,Färsk sillfilé,"39,95/st","FALKENBERG, 400g",,,,,
,,,,Manchego,"299,50/kg","FALBYGDENS, ca 150g",,,,,
,,,,Blomsterhonung,"44,95/st","LUNE DE MIEL, 500g",,,,,
,,,,Grillade kycklinglår 2-pack,"20,00/st","GULDFÅGELN, råvikt ca 340g",,,,,
,,,,Lövbiff,"199,00/kg","GARANT EKO, ca 500g",,,,,
,,,,Högrevsburgare,"49,95/st","GARANT, 300g",,,,,
,,,,Lammfärs,"79,95/st","SMAK AV GOTLAND, 500g",,,,,
,,,,Ytterfilé av vildsvin,"249,00/kg","ÅKE P, ca 400g",,,,,
,,,,Fröknäcke,"28,95/st","SIGDAL, 190-220g",,,,,
,,,,Margarin,"29,95/st","FLORA, BECEL, 550-600g",,,,,
,,,,Knäckebröd,"20,00/st","WASA, 470-550g",,,,,
,,,,Färskost,,"ELDORADO, 200g",,,,,
,,,,Snabbnudlar,,"BLUE GARDEN, 85g",,,,,
,,,,Diskduk,,"WETTEX, 4-pack",,,,,
